mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.10600941521780831,0.009857385969242051,0.00882417815072196,0.0011799354351580017,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.21238938053097342,0.22807017543859648,0.1964285714285714,0.1621621621621622,0.19469026548672566,0.19469026548672566,0.21052631578947367,0.19985101947474693,0.019097206573223058,459,0.9108536562540942,0.8799341181755225,0.8985008141645922,0.8854352346999405,0.8995840760546642,0.8828914141414141,0.8859737076648841,0.891881860165016,0.01044102918235415,465,0.8587301587301587,0.8603174603174604,0.8571428571428571,0.8523809523809524,0.8555555555555555,0.8555555555555555,0.8571428571428571,0.856689342403628,0.0023565317109780805,462
0.22656794956752233,0.015527615459764556,0.01725142342703683,0.003921453892341299,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3025210084033613,0.21238938053097342,0.14678899082568805,0.19469026548672566,0.22608695652173913,0.1621621621621622,0.19469026548672566,0.2056184327739108,0.04696977103490515,455,0.9136049710831197,0.8848378221565067,0.8999981283572591,0.8897615864527629,0.8933266488413548,0.8900958110516933,0.8869578134284016,0.8940832544815854,0.009161113881654631,456,0.8682539682539683,0.8587301587301587,0.8523809523809524,0.8555555555555555,0.8587301587301587,0.8523809523809524,0.8555555555555555,0.8573696145124715,0.0050501264061950475,455
0.32816195487976074,0.0162845382107097,0.022296769278390065,0.004993878988662184,5,1,2,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.25862068965517243,0.21238938053097342,0.1636363636363636,0.17857142857142855,0.22608695652173913,0.1621621621621622,0.19469026548672566,0.1994510352235093,0.03275383237288153,460,0.9154017481143198,0.8827041494319564,0.8981264856164255,0.8891488413547236,0.8920083184789067,0.8922497029114675,0.8919897504456327,0.8945184280504902,0.009527274764697162,455,0.8634920634920635,0.8587301587301587,0.8539682539682539,0.8539682539682539,0.8587301587301587,0.8523809523809524,0.8555555555555555,0.856689342403628,0.003570978627669773,462
0.41036360604422434,0.016713842311483106,0.030118533543178012,0.005184965767297789,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.27350427350427353,0.22807017543859648,0.1636363636363636,0.17857142857142855,0.24137931034482762,0.17857142857142855,0.19469026548672566,0.20834617793623486,0.03719509217103428,449,0.9238615733028879,0.8850998521402235,0.8991184562690673,0.893289512774807,0.8977458407605466,0.8913213012477719,0.8945335710041592,0.8978528724999234,0.01143433826710161,449,0.8650793650793651,0.8603174603174604,0.8539682539682539,0.8539682539682539,0.8603174603174604,0.8539682539682539,0.8555555555555555,0.8575963718820862,0.004043663151956273,449
0.10229917934962682,0.00621392634871037,0.009486402784075056,0.002818742778664185,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.1964285714285714,0.21238938053097342,0.14678899082568805,0.17857142857142855,0.19469026548672566,0.17857142857142855,0.21052631578947367,0.18828091160061275,0.021022668277641154,473,0.9154953302513615,0.8815998802148646,0.8986131127290422,0.8852495543672013,0.8953505644682115,0.8837826797385622,0.886437908496732,0.8923612900379966,0.011072930921580253,462,0.8571428571428571,0.8587301587301587,0.8523809523809524,0.8539682539682539,0.8555555555555555,0.8539682539682539,0.8571428571428571,0.8555555555555554,0.0020782656212951583,474
0.21022602490016393,0.015117769722812674,0.013544934136526925,0.003382215679399735,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.27350427350427353,0.1964285714285714,0.14678899082568805,0.17857142857142855,0.24137931034482762,0.1621621621621622,0.19469026548672566,0.19907500033195388,0.04118318259922245,464,0.9187332721930037,0.8870276441632821,0.8978270227778922,0.8893159536541889,0.892416815210933,0.8924353832442067,0.8848410576351753,0.8946567355540974,0.010574609122084784,453,0.8650793650793651,0.8571428571428571,0.8523809523809524,0.8539682539682539,0.8603174603174604,0.8523809523809524,0.8555555555555555,0.8566893424036282,0.00430241858526313,459
0.2956921032496861,0.015496115808411695,0.024126631872994558,0.004817171312911247,5,1,5,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.27350427350427353,0.21238938053097342,0.1636363636363636,0.19469026548672566,0.24137931034482762,0.1621621621621622,0.19469026548672566,0.2060645744502931,0.0374577312983506,453,0.9183402272174287,0.8856426285350651,0.8953377379325834,0.8882204396910279,0.8914512774806893,0.8929181521093286,0.8903928995840761,0.8946147660785998,0.01011022941925689,454,0.8650793650793651,0.8587301587301587,0.8539682539682539,0.8555555555555555,0.8603174603174604,0.8523809523809524,0.8555555555555555,0.8573696145124716,0.004018150826909177,452
0.42172397886003765,0.011425551591119227,0.031414576939174106,0.006125508686986096,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.27350427350427353,0.22807017543859648,0.14678899082568805,0.19469026548672566,0.24137931034482762,0.17857142857142855,0.19469026548672566,0.20824210137975221,0.039232851364095385,450,0.9230193340695128,0.8864661513410319,0.8973029628104588,0.8924725193107546,0.8958890374331551,0.8907271241830065,0.8926396316102199,0.8969309658225912,0.011136299989278025,450,0.8650793650793651,0.8603174603174604,0.8523809523809524,0.8555555555555555,0.8603174603174604,0.8539682539682539,0.8555555555555555,0.8575963718820862,0.004131715908909013,449
0.11832407542637416,0.026397601026171703,0.01125584329877581,0.0027566986753135066,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.22807017543859648,0.1636363636363636,0.18018018018018017,0.14545454545454545,0.21052631578947367,0.1621621621621622,0.21052631578947367,0.1857937226358279,0.02858286467850517,482,0.9140354489135113,0.8739822942596717,0.899043590559434,0.8865864527629232,0.8886289364230541,0.88031045751634,0.881628787878788,0.8891737097591033,0.012471530373052483,472,0.8603174603174604,0.8539682539682539,0.8555555555555555,0.8507936507936508,0.8571428571428571,0.8523809523809524,0.8571428571428571,0.8553287981859409,0.002991135137930383,480
0.20989230700901576,0.009463727574357197,0.01827536310468401,0.003953330952474868,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.22807017543859648,0.18018018018018017,0.14678899082568805,0.14545454545454545,0.24137931034482762,0.19469026548672566,0.17857142857142855,0.18787641375742745,0.034138652142569184,479,0.9225514233843044,0.8756480562990137,0.8993992026801925,0.8850267379679144,0.8860479797979799,0.885342394533571,0.8819630124777184,0.8908541153058135,0.014518215793102637,468,0.8603174603174604,0.8555555555555555,0.8523809523809524,0.8507936507936508,0.8603174603174604,0.8555555555555555,0.8539682539682539,0.8555555555555555,0.0033937935480943104,473
