mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.01538637706211635,0.004397207186500474,0.005044834954398019,0.002252091790773185,5,1,2,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.3823529411764706,0.3694267515923567,0.3851851851851852,0.3676470588235294,0.4129032258064516,0.4027777777777778,0.36619718309859156,0.3837843033514804,0.016854553160027985,113,0.7384379269685003,0.7299500271388197,0.7647251492635085,0.7521538918597742,0.7373458853238265,0.7557468062982768,0.7365660279263221,0.7449893878255756,0.011680463429545127,121,0.8666666666666667,0.8428571428571429,0.8682539682539683,0.8634920634920635,0.8555555555555555,0.8634920634920635,0.8571428571428571,0.8596371882086167,0.008087326303912491,113
0.014977216720581055,0.0016223588800652962,0.004419292722429548,0.0015452351441140242,5,1,5,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.37037037037037035,0.3694267515923567,0.373134328358209,0.3676470588235294,0.4129032258064516,0.4027777777777778,0.36619718309859156,0.38035095654675516,0.017709404044945056,115,0.7368563888524958,0.7299500271388197,0.7631716857886166,0.7521538918597742,0.7373458853238265,0.7557468062982768,0.7365660279263221,0.7445415304554475,0.01145143946379588,123,0.8650793650793651,0.8428571428571429,0.8666666666666667,0.8634920634920635,0.8555555555555555,0.8634920634920635,0.8571428571428571,0.8591836734693876,0.00766963017019855,115
0.016254527228219167,0.0038253475698702987,0.004946470260620117,0.0021790023695684,5,1,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.37037037037037035,0.3694267515923567,0.373134328358209,0.3555555555555555,0.4129032258064516,0.4027777777777778,0.36619718309859156,0.3786235989370446,0.019375601314758295,117,0.7368563888524958,0.7299500271388197,0.7631716857886166,0.7491273024361259,0.7373458853238265,0.7557468062982768,0.7365660279263221,0.7441091605377833,0.011210460120795714,125,0.8650793650793651,0.8428571428571429,0.8666666666666667,0.861904761904762,0.8555555555555555,0.8634920634920635,0.8571428571428571,0.8589569160997731,0.007561601814300729,117
0.013574361801147461,0.001976298915098201,0.0030112266540527344,0.0001234553806337603,5,1,15,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.37037037037037035,0.358974358974359,0.373134328358209,0.3555555555555555,0.40764331210191085,0.39999999999999997,0.36619718309859156,0.3759821583512851,0.01859779079204152,119,0.7368563888524958,0.7256452488349023,0.7631716857886166,0.7491273024361259,0.7341986036838979,0.753964275103981,0.7365660279263221,0.7427899332323346,0.012083868199370046,127,0.8650793650793651,0.8412698412698413,0.8666666666666667,0.861904761904762,0.8523809523809524,0.861904761904762,0.8571428571428571,0.8580498866213151,0.008175853232344663,119
0.013194492885044642,0.002513750245985416,0.004315205982753209,0.0028929736541129943,5,2,2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.3823529411764706,0.3694267515923567,0.3851851851851852,0.3676470588235294,0.4129032258064516,0.4027777777777778,0.36619718309859156,0.3837843033514804,0.016854553160027985,113,0.7384379269685003,0.7299500271388197,0.7647251492635085,0.7521538918597742,0.7373458853238265,0.7557468062982768,0.7365660279263221,0.7449893878255756,0.011680463429545127,121,0.8666666666666667,0.8428571428571429,0.8682539682539683,0.8634920634920635,0.8555555555555555,0.8634920634920635,0.8571428571428571,0.8596371882086167,0.008087326303912491,113
0.01407865115574428,0.003530112278679088,0.0035260404859270367,0.0018614914316760877,5,2,5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.37037037037037035,0.3694267515923567,0.373134328358209,0.3676470588235294,0.4129032258064516,0.4027777777777778,0.36619718309859156,0.38035095654675516,0.017709404044945056,115,0.7368563888524958,0.7299500271388197,0.7631716857886166,0.7521538918597742,0.7373458853238265,0.7557468062982768,0.7365660279263221,0.7445415304554475,0.01145143946379588,123,0.8650793650793651,0.8428571428571429,0.8666666666666667,0.8634920634920635,0.8555555555555555,0.8634920634920635,0.8571428571428571,0.8591836734693876,0.00766963017019855,115
0.011464766093662806,0.0008505145232604224,0.002680982862200056,0.00012932930554740356,5,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.37037037037037035,0.3694267515923567,0.373134328358209,0.3555555555555555,0.4129032258064516,0.4027777777777778,0.36619718309859156,0.3786235989370446,0.019375601314758295,117,0.7368563888524958,0.7299500271388197,0.7631716857886166,0.7491273024361259,0.7373458853238265,0.7557468062982768,0.7365660279263221,0.7441091605377833,0.011210460120795714,125,0.8650793650793651,0.8428571428571429,0.8666666666666667,0.861904761904762,0.8555555555555555,0.8634920634920635,0.8571428571428571,0.8589569160997731,0.007561601814300729,117
0.010845661163330078,0.0005107380392782825,0.0032997471945626394,0.0017710215362016994,5,2,15,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 15}",0.37037037037037035,0.358974358974359,0.373134328358209,0.3555555555555555,0.40764331210191085,0.39999999999999997,0.36619718309859156,0.3759821583512851,0.01859779079204152,119,0.7368563888524958,0.7256452488349023,0.7631716857886166,0.7491273024361259,0.7341986036838979,0.753964275103981,0.7365660279263221,0.7427899332323346,0.012083868199370046,127,0.8650793650793651,0.8412698412698413,0.8666666666666667,0.861904761904762,0.8523809523809524,0.861904761904762,0.8571428571428571,0.8580498866213151,0.008175853232344663,119
0.014988524573189872,0.005654636065823401,0.0034875188555036274,0.0015920844925426652,5,5,2,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.37681159420289856,0.3694267515923567,0.3795620437956204,0.3555555555555555,0.40764331210191085,0.3835616438356165,0.33093525179856115,0.37192802184035995,0.022193216113518308,121,0.7526811282262441,0.7458402740084971,0.7617492373055831,0.7613543523469994,0.735238413547237,0.7410316399286987,0.739444073083779,0.7481913026352912,0.00984393555374824,117,0.8634920634920635,0.8428571428571429,0.8650793650793651,0.861904761904762,0.8523809523809524,0.8571428571428571,0.8523809523809524,0.8564625850340135,0.007291580585402981,121
0.013089486530848913,0.0017947981136448021,0.0043986524854387555,0.0019946614498862485,5,5,5,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.37681159420289856,0.3694267515923567,0.3795620437956204,0.3555555555555555,0.40764331210191085,0.3835616438356165,0.33093525179856115,0.37192802184035995,0.022193216113518308,121,0.7526811282262441,0.7458402740084971,0.7617492373055831,0.7613543523469994,0.735238413547237,0.7410316399286987,0.739444073083779,0.7481913026352912,0.00984393555374824,117,0.8634920634920635,0.8428571428571429,0.8650793650793651,0.861904761904762,0.8523809523809524,0.8571428571428571,0.8523809523809524,0.8564625850340135,0.007291580585402981,121
